|   in   |load | address |  out   |
|      0 |  0  |      0  |      0 |
|      0 |  0  |      0  |      0 |
|      0 |  1  |      0  |      0 |
|      0 |  1  |      0  |      0 |
|   4444 |  0  |      0  |      0 |
|   4444 |  0  |      0  |      0 |
|   4444 |  1  |   4444  |      0 |
|   4444 |  1  |   4444  |   4444 |
|   4444 |  0  |      0  |      0 |
|   4444 |  0  |      0  |      0 |
|  13131 |  0  |  13131  |      0 |
|  13131 |  0  |  13131  |      0 |
|  13131 |  1  |  13131  |      0 |
|  13131 |  1  |  13131  |      0 |
